data;zona;nome stazione;inquinante;valore
17/02/2025;Est;viale Marche;PM25;30
17/02/2025;Sud-Ovest;via Senato;C6H6;1.6
17/02/2025;Sud-Ovest;via Senato;CO_8h;0.5
17/02/2025;Sud-Ovest;via Senato;NO2;35
17/02/2025;Sud-Ovest;via Senato;PM10;33
17/02/2025;Sud-Ovest;via Senato;PM25;28
17/02/2025;Centro;Verziere;NO2;51
17/02/2025;Centro;Verziere;O3;54
17/02/2025;Centro;Verziere;PM10;33
18/02/2025;Nord;via Pascal;C6H6;1.4
18/02/2025;Nord;via Pascal;NO2;36
18/02/2025;Nord;via Pascal;O3;44
18/02/2025;Nord;via Pascal;PM10;28
18/02/2025;Nord;via Pascal;PM25;21
18/02/2025;Nord;via Pascal;SO2;2.5
18/02/2025;Centro;viale Liguria;NO2;50
18/02/2025;Est;viale Marche;C6H6;1.7
18/02/2025;Est;viale Marche;CO_8h;0.5
18/02/2025;Est;viale Marche;NO2;50
18/02/2025;Est;viale Marche;PM10;41
18/02/2025;Est;viale Marche;PM25;25
18/02/2025;Sud-Ovest;via Senato;C6H6;1.6
18/02/2025;Sud-Ovest;via Senato;CO_8h;0.25
18/02/2025;Sud-Ovest;via Senato;NO2;30
18/02/2025;Sud-Ovest;via Senato;PM10;31
18/02/2025;Sud-Ovest;via Senato;PM25;22
18/02/2025;Centro;Verziere;NO2;50
18/02/2025;Centro;Verziere;O3;55
18/02/2025;Centro;Verziere;PM10;32
19/02/2025;Nord;via Pascal;C6H6;1.2
19/02/2025;Nord;via Pascal;NO2;57
19/02/2025;Nord;via Pascal;O3;70
19/02/2025;Nord;via Pascal;PM10;30
19/02/2025;Nord;via Pascal;PM25;24
19/02/2025;Nord;via Pascal;SO2;2.5
19/02/2025;Centro;viale Liguria;NO2;60
19/02/2025;Est;viale Marche;C6H6;1.3
19/02/2025;Est;viale Marche;CO_8h;0.5
19/02/2025;Est;viale Marche;NO2;49
19/02/2025;Est;viale Marche;PM10;43
19/02/2025;Est;viale Marche;PM25;28
19/02/2025;Sud-Ovest;via Senato;C6H6;1.4
19/02/2025;Sud-Ovest;via Senato;CO_8h;0.25
19/02/2025;Sud-Ovest;via Senato;NO2;45
19/02/2025;Sud-Ovest;via Senato;PM10;34
19/02/2025;Sud-Ovest;via Senato;PM25;25
19/02/2025;Centro;Verziere;NO2;64
19/02/2025;Centro;Verziere;O3;62
19/02/2025;Centro;Verziere;PM10;35
